[00:00 - 00:07] 这里是万物生长FM
[00:07 - 00:09] 一档有关生命死亡与爱的播客
[00:09 - 00:11] 讲述生命科学及一切
[00:11 - 00:11] 我是玉米
[00:11 - 00:14] 我们来录一期热乎的内容
[00:14 - 00:16] 当然我昨天先发了一篇文章
[00:16 - 00:17] 大家如果感兴趣的话
[00:17 - 00:19] 也可以去我的公众号
[00:19 - 00:21] 张宏亮leo里面看
[00:21 - 00:22] 这个什么事呢
[00:22 - 00:24] 其实这两天大家在群里
[00:24 - 00:26] 在朋友圈里
[00:26 - 00:27] 包括一些自媒体讨论的非常多
[00:27 - 00:29] 是4月30号
[00:29 - 00:30] 到我们国内的时间
[00:30 - 00:32] 可能刚好是五一假期期间
[00:32 - 00:34] 美国众议院
[00:34 - 00:37] 他们提出来了一个提案
[00:37 - 00:39] 这个提案大概就是说
[00:39 - 00:41] 要禁止FDA
[00:41 - 00:44] 在新药临床试验申请
[00:44 - 00:46] 也就是IND这个阶段
[00:46 - 00:49] 来采信包括中国
[00:49 - 00:49] 俄罗斯
[00:49 - 00:50] 伊朗
[00:50 - 00:52] 朝鲜的临床试验数据
[00:52 - 00:54] 当然大家听一听这个表述
[00:54 - 00:55] 就非常的政治化
[00:55 - 00:56] 这几个国家
[00:56 - 00:59] 然后这个讨论就很刷屏嘛
[00:59 - 01:02] 我看有一篇那个自媒体的文章
[01:02 - 01:05] 写得非常的毛骨悚然
[01:05 - 01:06] 就感觉中国创新要出海
[01:06 - 01:07] 感觉没戏了
[01:07 - 01:10] 然后中国的CIO行业感觉快完了
[01:10 - 01:12] 很多人在群里问我
[01:12 - 01:15] 然后包括我们的一些主播朋友
[01:15 - 01:17] 高磊老师也来问我说
[01:17 - 01:19] 这个到底是怎么回事
[01:19 - 01:20] 影响大不大
[01:20 - 01:22] 我也看了很多分析
[01:22 - 01:25] 我觉得大家无非关心的是这几个问题
[01:25 - 01:26] 第一个问题是
[01:26 - 01:29] 这个提案对于中国创新药企来说
[01:29 - 01:30] 是利空吗
[01:30 - 01:32] 或者说它是新的利空吗
[01:32 - 01:33] 然后就是
[01:33 - 01:35] 如果这个提案通过
[01:35 - 01:38] 它大概会怎么样影响中国创新药企
[01:38 - 01:40] 特别是中国创新药的出海
[01:40 - 01:44] 还有它会怎么影响中国的这些CXO公司
[01:44 - 01:46] 那如果再把这个问题
[01:46 - 01:48] 再进一步来讨论的话
[01:48 - 01:52] 那从2024年到现在2026年
[01:52 - 01:54] 第一季度第二季度过了一半差不多
[01:54 - 01:57] 这三年的时间里
[01:57 - 01:59] 跨国要起来中国买买买
[01:59 - 02:02] 大概花了2000多亿
[02:02 - 02:03] 当然是合同金额
[02:03 - 02:06] 2000多亿来买中国创新要起的管线
[02:06 - 02:09] 那跨国要起来买的这些管线
[02:09 - 02:11] 是不是采雷的资产
[02:11 - 02:14] 或者说这些是怎么回事啊
[02:14 - 02:15] 这些会不会受影响
[02:15 - 02:17] 其实聊到这个问题
[02:17 - 02:19] 可能就是对这个行业已经有所了解
[02:19 - 02:21] 包括已经很懂了
[02:21 - 02:23] 就是它可能会影响到中国创新要起的出海
[02:23 - 02:25] 就是最核心的这个BD
[02:25 - 02:26] 它会影响
[02:26 - 02:27] 过去的会怎么影响
[02:27 - 02:29] 以及未来的可能会怎么影响
[02:29 - 02:31] 那如果再进一步
